ID,macid,Date_time,Acceleration_x,Acceleration_y,Acceleration_z,Acceleration_s,Frequency,Amplitude,sound,Temp_t1,Temp_t2,Temp_t3,emf,bv,an,device_id,node_firm,gateway_firm,radio_power,res,sen_type
1002,,10/18/2017 0:00:01,1.5,0.89,0.03,1.74,8.99,15.1,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:00:02,1.54,0.81,0.04,1.74,8.79,15.8,0,23,22.3,23,ffa3,015f,62,,,,,ffff,
1013,,10/18/2017 0:00:02,1.51,0.89,0.04,1.75,8.9,15.5,0,24.1,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:00:03,1.54,0.84,0.02,1.75,8.86,15.64,0,24.9,23.5,24,ffab,164,61,,,,,ffff,
1008,,10/18/2017 0:00:04,1.47,0.93,0.04,1.73,8.99,15.02,0,24.8,23.9,24,ffad,166,57,,,,,ffff,
1002,,10/18/2017 0:00:11,1.49,0.89,0.03,1.73,8.87,15.43,0,25.2,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:00:12,1.52,0.79,0.04,1.71,8.95,14.98,0,23,22.2,23,ffa3,015f,62,,,,,ffff,
1013,,10/18/2017 0:00:12,1.52,0.9,0.04,1.76,9,15.25,0,24.2,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:00:13,1.51,0.83,0.02,1.72,9,14.89,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:00:14,1.5,0.95,0.04,1.77,8.85,15.85,0,24.8,23.9,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:00:21,1.5,0.89,0.03,1.74,9.01,15.03,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:00:22,1.54,0.81,0.04,1.74,8.82,15.7,0,22.9,22.5,23,ffa3,015f,62,,,,,ffff,
1013,,10/18/2017 0:00:22,1.5,0.89,0.04,1.74,8.88,15.49,0,24.2,23,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:00:23,1.53,0.84,0.02,1.74,8.83,15.66,0,24.8,23.5,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:00:24,1.47,0.94,0.04,1.74,8.99,15.1,0,24.8,23.8,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:00:31,1.49,0.88,0.03,1.73,8.9,15.33,0,25.2,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:00:32,1.52,0.8,0.04,1.71,8.91,15.12,0,22.9,22.2,23,ffa3,015f,62,,,,,ffff,
1013,,10/18/2017 0:00:32,1.51,0.9,0.04,1.75,9.02,15.09,0,24.1,23.2,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:00:33,1.5,0.83,0.02,1.71,8.98,14.88,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:00:34,1.5,0.95,0.04,1.77,8.83,15.92,0,24.8,23.9,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:00:41,1.49,0.89,0.03,1.73,9,14.99,0,25.2,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:00:42,1.54,0.81,0.04,1.74,8.78,15.84,0,23,22.4,23,ffa3,015f,62,,,,,ffff,
1013,,10/18/2017 0:00:42,1.51,0.9,0.04,1.75,8.9,15.5,0,24.1,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:00:43,1.54,0.84,0.02,1.75,8.84,15.71,0,24.9,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:00:44,1.47,0.93,0.04,1.73,8.98,15.05,0,24.8,23.8,24,ffad,166,57,,,,,ffff,
1002,,10/18/2017 0:00:51,1.49,0.89,0.03,1.73,8.87,15.43,0,25.2,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:00:52,1.52,0.8,0.06,1.71,8.94,15,0,23,22.3,23,ffa3,015f,62,,,,,ffff,
